X,CH1,CH2
Second,Volt,Volt
-1.3336000e-03,2.48000e-01,-2.00000e-02
-1.3332000e-03,2.64000e-01,1.20000e-02
-1.3328000e-03,2.40000e-01,-2.32000e-02
-1.3324000e-03,2.64000e-01,8.00000e-03
-1.3320000e-03,2.40000e-01,-2.00000e-02
-1.3316000e-03,2.72000e-01,1.36000e-02
-1.3312000e-03,2.56000e-01,-2.48000e-02
-1.3308000e-03,2.72000e-01,1.20000e-02
-1.3304000e-03,2.56000e-01,-2.72000e-02
-1.3300000e-03,2.88000e-01,1.76000e-02
-1.3296000e-03,2.64000e-01,-2.08000e-02
-1.3292000e-03,3.04000e-01,1.12000e-02
-1.3288000e-03,2.72000e-01,-2.08000e-02
-1.3284000e-03,3.04000e-01,2.40000e-03
-1.3280000e-03,2.88000e-01,-1.20000e-02
-1.3276000e-03,3.12000e-01,8.80000e-03
-1.3272000e-03,2.88000e-01,-2.40000e-02
-1.3268000e-03,3.04000e-01,1.28000e-02
-1.3264000e-03,2.80000e-01,-2.32000e-02
-1.3260000e-03,3.04000e-01,1.04000e-02
-1.3256000e-03,2.80000e-01,-1.92000e-02
-1.3252000e-03,3.12000e-01,5.60000e-03
-1.3248001e-03,2.88000e-01,-1.36000e-02
-1.3244001e-03,3.12000e-01,6.40000e-03
-1.3240001e-03,2.88000e-01,-1.84000e-02
-1.3236001e-03,3.12000e-01,9.60000e-03
-1.3232001e-03,2.88000e-01,-2.40000e-02
-1.3228001e-03,3.04000e-01,1.36000e-02
-1.3224001e-03,2.88000e-01,-2.32000e-02
-1.3220001e-03,3.12000e-01,6.40000e-03
-1.3216001e-03,2.88000e-01,-2.48000e-02
-1.3212000e-03,3.12000e-01,1.52000e-02
-1.3208000e-03,2.88000e-01,-3.12000e-02
-1.3204000e-03,3.20000e-01,2.08000e-02
-1.3200000e-03,2.96000e-01,-3.12000e-02
-1.3196000e-03,3.28000e-01,1.60000e-02
-1.3192000e-03,3.04000e-01,-2.88000e-02
-1.3188000e-03,3.44000e-01,1.68000e-02
-1.3184000e-03,3.20000e-01,-2.72000e-02
-1.3180000e-03,3.60000e-01,1.52000e-02
-1.3176000e-03,3.36000e-01,-2.56000e-02
-1.3172000e-03,3.68000e-01,1.44000e-02
-1.3168000e-03,3.44000e-01,-1.68000e-02
-1.3164000e-03,3.76000e-01,7.20000e-03
-1.3160000e-03,3.52000e-01,-1.84000e-02
-1.3156000e-03,3.76000e-01,4.00000e-03
-1.3152000e-03,3.44000e-01,-1.20000e-02
-1.3148000e-03,3.68000e-01,8.80000e-03
-1.3144000e-03,3.36000e-01,-2.56000e-02
-1.3140000e-03,3.60000e-01,1.52000e-02
-1.3136000e-03,3.28000e-01,-1.92000e-02
-1.3132000e-03,3.44000e-01,8.80000e-03
-1.3128000e-03,3.28000e-01,-1.52000e-02
-1.3124000e-03,3.44000e-01,4.80000e-03
-1.3120000e-03,3.20000e-01,-2.00000e-02
-1.3116000e-03,3.36000e-01,1.28000e-02
-1.3112000e-03,3.20000e-01,-2.40000e-02
-1.3108000e-03,3.28000e-01,8.80000e-03
-1.3104000e-03,3.12000e-01,-1.76000e-02
-1.3100000e-03,3.28000e-01,7.20000e-03
-1.3096001e-03,3.12000e-01,-2.32000e-02
-1.3092001e-03,3.28000e-01,1.28000e-02
